HITid,AssignmentId,WorkerId,Time,Minutes,Query,Description,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected,doc11id,doc11selected,doc12id,doc12selected,Num Relevant Selected,Num NR Selected
3OID399FYKN1ZOL0U5Y39UVZZJFFDG,35H6S234SFGDZ2BQ48JH5WQHWLZ56Z,A2R7PDGVB16KGY,364.0,6.066666666666666," Software and hardware"," Computer hardware is any physical device used in or with your machine, whereas software is a collection of codes installed onto your computer's hard drive."," Technology"," clueweb09-en0003-03-20192",true," clueweb09-en0005-58-11881",true," clueweb09-en0005-68-19300",true," nr-clueweb09-en0005-00-07517",false," clueweb09-en0005-00-07490",false," clueweb09-en0001-17-08616",false," clueweb09-en0002-78-16692",false," clueweb09-en0002-63-28030",false," clueweb09-en0011-10-15909",false," clueweb09-en0005-05-30012",false," clueweb09-en0011-10-15100",false," nr-clueweb09-en0004-93-33049",false,3,0
30ZKOOGW30MCB2OG3WSGURJZD6ZA18,3IGI0VL64C07EXN0841XGDCU88SON0,A26F3K30VFCT8C,131.0,2.183333333333333," Learn More about Astronomy"," This query is intended to find information on astronomy. Useful documents might be articles, or links to websites with information related to astronomy or stars."," Science"," clueweb09-en0002-42-02858",false," clueweb09-en0007-44-08537",false," clueweb09-en0007-44-08567",false," clueweb09-en0006-63-30225",true," clueweb09-en0011-30-29681",false," clueweb09-en0005-55-10884",false," nr-clueweb09-en0006-06-08270",true," clueweb09-en0005-55-10887",false," clueweb09-en0000-15-12092",true," clueweb09-en0007-11-37810",true," clueweb09-en0005-95-18752",true," nr-clueweb09-en0008-26-18372",false,4,1
3S8A4GJRE7JRACSBKXVTLAOT6RFV6R,3NGI5ARFTYLMLQSCIHGE864HFB9P1Y,AURYD2FH3FUOQ,547.0,9.116666666666667," Highest roller coaster US"," I want it to tell me where the highest roller coaster is in the US. It should tell me the name of the amusement park to be relevant. It should also tell me the height."," Recreation"," clueweb09-en0003-01-15663",false," clueweb09-en0004-19-08617",false," clueweb09-en0000-92-30386",false," clueweb09-en0004-31-10788",false," nr-clueweb09-en0010-95-16223",false," clueweb09-en0011-78-21576",false," clueweb09-en0000-39-07255",true," clueweb09-enwp00-79-04146",true," clueweb09-en0004-89-01835",false," clueweb09-enwp00-90-00032",false," clueweb09-en0007-66-30860",false," nr-clueweb09-en0003-15-03815",false,2,0
3Y7LTZE0ZX2TL7NMHCIZMMF5XO3ZUX,3EA3QWIZ4NBVDOHH75A45FM0LGAITT,AR4XFM7G1W0VQ,172.0,2.8666666666666667," Dr. Pepper"," I would expect the query to find the official Dr. Pepper website.  I would also think it would find places I could buy Dr. Pepper."," Food &amp; Drink"," clueweb09-enwp00-66-02019",true," clueweb09-enwp00-67-02596",true," clueweb09-en0003-52-21499",false," clueweb09-en0006-61-25144",false," clueweb09-en0005-46-30289",false," clueweb09-en0001-46-22666",false," clueweb09-en0005-46-30301",false," clueweb09-en0009-27-06101",false," nr-clueweb09-en0008-36-00967",false," clueweb09-en0007-22-00002",false," clueweb09-en0007-22-01011",false," nr-clueweb09-enwp01-33-00957",false,2,0
3CVBMEMMYFW5WBBWYIJHCNXGTNP7HD,3DBQWDE4YBEL6NHI3P5Y77C3RDWN53,A3774HPOUKYTX7,610.0,10.166666666666666," samsung phones"," different samsung phones"," Technology"," clueweb09-en0008-33-13064",true," clueweb09-en0000-91-23205",true," nr-clueweb09-en0010-11-36042",true," clueweb09-en0010-96-04434",true," clueweb09-en0007-05-10865",false," clueweb09-en0005-20-34828",true," clueweb09-en0007-26-01736",true," clueweb09-en0000-62-27267",false," clueweb09-en0006-94-17851",true," clueweb09-en0000-91-23139",true," clueweb09-en0008-46-14126",true," nr-clueweb09-en0009-82-20620",false,8,1
3YOAVL4CB4XU49T726RH9IHBYBG4ZG,3Q5ZZ9ZEVTV03GUEXNGFPAM82G5581,AQXZUVF2QWLYS,283.0,4.716666666666667," Pizza and wine"," Mozzarella Pizza And Dry Vodka Martini. Mozzarella is a mild and creamy Italian cheese"," Food &amp; Drink"," clueweb09-en0006-47-29162",true," nr-clueweb09-en0007-94-07065",true," clueweb09-en0006-50-30315",false," clueweb09-en0006-47-29159",true," clueweb09-en0005-99-39082",false," clueweb09-en0008-95-31267",false," clueweb09-en0000-51-29770",false," clueweb09-en0003-57-04652",false," clueweb09-en0005-79-05469",false," clueweb09-en0006-14-22154",false," clueweb09-en0004-19-11211",false," nr-clueweb09-en0006-97-33891",false,2,1
3U18MJKL2Y23IOS3SXM5XTMQGAPCNK,31Q0U3WYDUVXFKOCMVMX8KDWFG5173,A3N17LYEE7484L,252.0,4.2," health"," fitness"," Health &amp; Wellness"," nr-clueweb09-en0007-81-34911",false," clueweb09-en0002-73-24718",true," clueweb09-en0004-27-03657",false," clueweb09-en0009-21-22481",true," clueweb09-en0009-21-22486",true," clueweb09-en0009-88-06187",false," clueweb09-en0005-32-06143",false," clueweb09-en0005-32-05886",false," clueweb09-en0009-88-06182",false," clueweb09-en0004-12-24923",false," clueweb09-en0003-03-08044",false," nr-clueweb09-en0008-71-02282",false,3,0
3VZYA8PIUSEFY7RHCHXZ8BK3G0S50U,30LSNF239ZB1TPN4OQQ84SDAL2J2I5,A1Y25W1Y7KDE5,199.0,3.316666666666667," How much hay should I feed my rabbit?"," I intend to find the exact quantity of timothy or orchard hay that a rabbit should eat per day, per pound of rabbit."," Pets"," clueweb09-en0003-14-30789",true," clueweb09-en0003-14-30792",true," nr-clueweb09-en0007-49-25012",false," clueweb09-en0000-08-16874",false," clueweb09-en0009-04-30383",true," clueweb09-en0004-10-24172",false," clueweb09-en0006-08-05438",false," clueweb09-en0006-52-17457",false," clueweb09-en0011-93-29119",false," clueweb09-en0004-46-20130",false," clueweb09-en0011-81-02121",false," nr-clueweb09-en0011-36-14830",false,3,0
3RZS0FBRXOQ3L94G8CZX1IRLGPQCPG,33L7PJKHCLE2OI54YJYDSQSMIJC8TG,AL36KBFL3ORCD,600.0,10.0," Life after death in humans"," It intended to find articles on what I had searched. It found helpful information."," Spirituality"," clueweb09-en0004-33-30401",false," clueweb09-en0002-48-15997",true," clueweb09-en0008-38-01230",false," clueweb09-en0002-80-06741",false," nr-clueweb09-en0001-50-23331",false," clueweb09-en0004-69-25197",false," clueweb09-en0004-69-25316",false," clueweb09-en0007-23-23479",false," clueweb09-en0005-80-23385",false," clueweb09-en0000-92-09451",false," clueweb09-en0009-10-27097",false," nr-clueweb09-en0007-40-21379",false,1,0
3MJ9GGZYP7MJ0N6CM0SUZAT45CDA2P,3YMU66OBISORCOKRHNTC6K6WV8SHGT,AT6LDQNLKTUSE,505.0,8.416666666666666," dachshund life expectancy"," I would like to find how long dachshunds live, on average."," Pets"," clueweb09-en0006-43-20921",false," clueweb09-en0008-26-15304",true," clueweb09-en0009-42-22549",true," clueweb09-en0006-19-25548",false," clueweb09-en0006-23-17732",false," clueweb09-en0006-52-15722",false," nr-clueweb09-en0001-63-06807",false," clueweb09-en0006-54-07204",true," clueweb09-en0006-20-05609",true," clueweb09-en0006-13-19256",false," clueweb09-en0007-94-13752",true," nr-clueweb09-en0005-47-09926",false,5,0
