HITid,AssignmentId,WorkerId,Time,Minutes,Input Time (s),Query Time (s),Query,Description,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected,doc11id,doc11selected,doc12id,doc12selected,doc13id,doc13selected,Num Relevant Selected,Num NR Selected
3LEG2HW4VJ3EWENKXGEMDB4V55U2FR,3PW9OPU9PV0QTJR6GJ52CTWPMLX21S,A34QQJTKUNJGCT,153.0,2.55,121.2,0.0," Which country has more beaches to visit?"," The water surrounded place is always full of natural inhabitant and tasty food supplies. It is necessary for find travel place that has more waters."," Travel"," clueweb09-en0010-89-05849",true," clueweb09-en0000-13-00794",true," clueweb09-en0005-79-08945",false," clueweb09-en0006-07-27447",false," clueweb09-en0005-23-10578",false," clueweb09-en0004-69-21744",false," random-clueweb09-enwp03-08-12100",false," clueweb09-en0007-41-15319",false," nr-clueweb09-en0005-03-06623",false," clueweb09-en0009-14-23931",true," clueweb09-en0009-08-28959",true," clueweb09-en0006-45-40710",false," nr-clueweb09-en0006-58-28275",false,4,0
3M67TQBQRL4U07RB79799X1IEVRA9E,3D4CH1LGEF9YXI28JB5KT389UGQ9GR,A34QQJTKUNJGCT,179.0,2.9833333333333334,126.308,0.0," What is the basic brand that can be affordable?"," The reason for this question is everyone cannot afford all brand so there is need for a basic brand."," Style"," clueweb09-en0005-82-13057",true," clueweb09-en0001-24-01343",false," clueweb09-en0004-46-06408",false," nr-clueweb09-en0006-68-36748",false," clueweb09-en0002-99-00479",false," clueweb09-en0005-45-34363",false," clueweb09-en0000-41-27886",true," clueweb09-en0001-47-04238",false," random-clueweb09-en0008-31-37861",false," clueweb09-en0004-57-00793",false," clueweb09-en0008-49-41572",false," clueweb09-en0006-25-31924",false," nr-clueweb09-en0010-71-26567",false,2,0
37PGLWGSKXMTNLT0NUQBG43H2X8KIM,3PM8NZGV83WFB3EKPNGA3KYT76QXQT,A34QQJTKUNJGCT,180.0,3.0,134.445,0.0," What type of diet food can be taken to provide energy to cancer patients?"," Cancer patients needs special kind of diet than normal people. they need a balanced diet"," Health &amp; Wellness"," clueweb09-en0005-21-35461",true," clueweb09-en0004-53-07102",true," clueweb09-en0005-36-45003",true," clueweb09-en0011-79-05516",false," nr-clueweb09-en0008-27-04519",false," clueweb09-en0011-96-04943",false," clueweb09-en0004-71-26278",false," clueweb09-en0010-72-26918",false," clueweb09-en0005-74-21465",false," clueweb09-en0005-88-08933",false," random-clueweb09-en0011-47-15958",false," clueweb09-en0007-35-16143",false," nr-clueweb09-en0000-61-10059",false,3,0
37PGLWGSKXMTNLT0NUQBG43H2X8KIM,3K4J6M3CXJ9C21CDBHJKPYJT0YOAGN,A1CKEMOTHOMQO4,183.0,3.05,147.538,0.0," Travel to japan"," Information about visiting Japan"," Travel"," clueweb09-en0007-03-25682",true," clueweb09-en0006-04-11451",false," clueweb09-en0001-96-07306",false," clueweb09-en0003-39-31167",false," clueweb09-en0007-11-09489",true," clueweb09-en0002-69-15116",true," clueweb09-en0002-15-08134",false," nr-clueweb09-en0002-69-15398",false," random-clueweb09-en0005-85-21121",false," clueweb09-en0002-69-15437",false," clueweb09-en0003-03-28677",false," clueweb09-en0004-72-14009",false," nr-clueweb09-en0010-07-13826",true,3,1
38EHZ67RJQ8AHIN8II3OA5I5CPBMG1,3EFE17QCRHLU2TTICNNTVYP0121SHP,AVBRJBJONL47I,112.0,1.8666666666666667,66.282,0.0," How to sleep train a baby"," It's the idea that babies can be "sleep trained" at some point and looking for instructions on how that might be done."," Parenting"," clueweb09-en0009-24-19882",false," nr-clueweb09-en0005-94-03980",false," clueweb09-en0004-81-32323",false," clueweb09-en0007-58-04245",false," random-clueweb09-en0006-35-27399",false," clueweb09-en0002-75-21803",true," clueweb09-en0005-33-31495",true," clueweb09-en0000-02-23143",false," clueweb09-en0009-24-19872",false," clueweb09-en0003-53-15310",false," clueweb09-en0004-16-22799",true," clueweb09-en0005-16-14726",true," nr-clueweb09-en0005-72-22230",false,4,0
38EHZ67RJQ8AHIN8II3OA5I5CPBMG1,392CY0QWG67BW32RS49WX7A9N14I4W,A34QQJTKUNJGCT,90.0,1.5,66.863,0.0," Which is best android or ios?"," People who is willing to buy new mobile phone need this explanation."," Technology"," nr-clueweb09-en0009-67-20023",false," clueweb09-en0009-35-02708",false," random-clueweb09-en0006-26-18498",false," clueweb09-en0008-29-17244",false," clueweb09-en0000-77-11489",false," clueweb09-en0006-83-32007",false," clueweb09-en0002-28-19543",false," clueweb09-en0000-57-08708",true," clueweb09-en0011-03-26601",false," clueweb09-en0001-39-30120",true," clueweb09-en0005-51-26823",false," clueweb09-en0006-40-25491",false," nr-clueweb09-en0001-41-26684",false,2,0
3S1L4CQSG1L31HIOAV71JTNTHTMFAB,30BUDKLTXIBHCH45AQ2FHKIVV4T5EG,A34QQJTKUNJGCT,131.0,2.183333333333333,79.472,0.0," What type of paintings can be sold more to people?"," New or young painters can find which type of paintings can be sold and what cannot be sold."," Arts"," clueweb09-en0005-85-00950",false," clueweb09-en0001-54-33326",true," clueweb09-en0009-82-35483",true," clueweb09-en0008-55-00049",false," clueweb09-en0005-14-25136",false," nr-clueweb09-en0011-23-41789",false," clueweb09-en0007-30-34879",true," clueweb09-en0010-47-13451",false," clueweb09-en0005-96-04582",true," clueweb09-en0011-90-12833",true," random-clueweb09-en0007-49-03198",false," clueweb09-en0004-40-01693",false," nr-clueweb09-en0005-82-18511",true,5,1
373L46LKQBMPIWD65CBBS5IHFCXKJY,37Q970SNZJOJYI84AYK83B9TKFX1SV,A34QQJTKUNJGCT,227.0,3.783333333333333,191.099,0.0," What causes earthquakes?"," Earthquakes are a natural disaster in the  universe and people need to find how they can prevent themselves."," Science"," clueweb09-en0004-67-35941",true," clueweb09-en0007-80-02886",false," random-clueweb09-en0002-86-03239",false," clueweb09-en0002-05-38792",false," clueweb09-en0008-55-15309",false," clueweb09-en0011-49-20749",true," nr-clueweb09-en0002-83-28884",true," clueweb09-en0001-47-19647",true," clueweb09-enwp01-11-00082",false," clueweb09-en0004-43-01081",true," clueweb09-en0005-89-25441",false," clueweb09-en0011-76-17676",true," nr-clueweb09-enwp03-05-20154",false,5,1
3T6EIBTMAP485Q1GZFL95SC2KD9AAT,3EA3QWIZ4NBVDOHH75A45FM130KTI2,A34QQJTKUNJGCT,112.0,1.8666666666666667,77.015,0.0," Which is the best university in United States?"," Every parent wants their children to get into good university and have well developed future."," Education"," nr-clueweb09-en0006-48-15849",false," clueweb09-en0001-09-26477",false," clueweb09-en0007-17-36421",false," clueweb09-enwp00-40-12374",false," clueweb09-en0011-94-07243",false," clueweb09-en0011-59-28470",true," random-clueweb09-en0005-94-21396",false," clueweb09-en0004-60-16157",true," clueweb09-en0002-19-35711",false," clueweb09-en0011-71-34042",false," clueweb09-en0004-77-11490",true," clueweb09-en0006-00-32670",false," nr-clueweb09-en0011-44-02530",false,3,0
3RIHDBQ1OIEOHEIJ2OL6V5U6RPOMH0,38BQUHLA91G1WF20W3MX3YNVL05MO5,AVBRJBJONL47I,117.0,1.95,54.904,0.0," How to crochet in the round"," This should bring up a set of instructions how to start and carry on round crochet projects including toys."," Crafts &amp; Hobbies"," clueweb09-en0007-09-41951",true," clueweb09-en0002-46-18619",false," clueweb09-en0011-83-39033",false," clueweb09-en0005-77-31496",true," clueweb09-en0000-54-28009",false," clueweb09-en0005-37-21208",false," random-clueweb09-en0000-87-03924",false," clueweb09-en0004-51-36246",false," clueweb09-en0000-54-27931",false," clueweb09-en0006-43-09429",false," nr-clueweb09-en0007-01-14537",false," clueweb09-en0003-25-08116",false," nr-clueweb09-en0003-07-13672",false,2,0
